CUDA available: True
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
6 %, 0 %, 11016 MiB, 9610 MiB, 1406 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
18 %, 5 %, 11016 MiB, 9332 MiB, 1684 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
18 %, 5 %, 11016 MiB, 9332 MiB, 1684 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
18 %, 5 %, 11016 MiB, 9332 MiB, 1684 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
18 %, 5 %, 11016 MiB, 9332 MiB, 1684 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
28 %, 8 %, 11016 MiB, 9332 MiB, 1684 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
28 %, 8 %, 11016 MiB, 8998 MiB, 2018 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
28 %, 8 %, 11016 MiB, 8998 MiB, 2018 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
28 %, 8 %, 11016 MiB, 8998 MiB, 2018 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
35 %, 13 %, 11016 MiB, 8998 MiB, 2018 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
35 %, 13 %, 11016 MiB, 8614 MiB, 2402 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
35 %, 13 %, 11016 MiB, 8614 MiB, 2402 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
35 %, 13 %, 11016 MiB, 8614 MiB, 2402 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
26 %, 9 %, 11016 MiB, 8614 MiB, 2402 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
26 %, 9 %, 11016 MiB, 8614 MiB, 2402 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
26 %, 9 %, 11016 MiB, 8614 MiB, 2402 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
26 %, 9 %, 11016 MiB, 8614 MiB, 2402 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
35 %, 12 %, 11016 MiB, 7762 MiB, 3254 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
35 %, 12 %, 11016 MiB, 7762 MiB, 3254 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
35 %, 12 %, 11016 MiB, 7762 MiB, 3254 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
24 %, 6 %, 11016 MiB, 7762 MiB, 3254 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
24 %, 6 %, 11016 MiB, 7762 MiB, 3254 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
24 %, 6 %, 11016 MiB, 7762 MiB, 3254 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
31 %, 9 %, 11016 MiB, 7762 MiB, 3254 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
31 %, 9 %, 11016 MiB, 7762 MiB, 3254 MiB
